group_kanji,member_number,kanji,original_kanji,meaning,story,frame_number,onyomi
⻖,9,院,院,"Inst., institution, temple, mansion, school","This key word, the abbreviation for Institution, represents the use of that word as a suffix affixed to certain buildings and organizations. Its primitive elements: pinnacle . . . perfect. [10]",10,イン
⻖,10,陣,陣,"camp, battle array, ranks, position, sudden, brief time",Pinnacle . . . car. [10],10,ジン
⻖,11,階,階,"storey, stair, counter for storeys of a building",The story of this character refers to floors in a building. The elements: pinnacle . . . all. [12],12,カイ
⻖,12,陛,陛,"highness, steps (of throne)",This key word indicates a title of address to royalty. Its elements: pinnacle . . . compare . . . ground. [10],10,ヘイ
⻖,13,隣,隣,neighboring,Pinnacle . . . rice . . . sunglasses. [16],16,リン
⻖,14,隠,隠,"conceal, hide, cover",Pinnacle . . . vulture . . . broom . . . heart. Compare the elements at the right to the kanji for calm (frame 1147). [14],14,イン、 オン
⻖,15,堕,堕,"degenerate, descend to, lapse into",Pinnacle . . . possess . . . ground. [12],12,ダ
⻖,16,陥,陥,"collapse, fall into, cave in, fall (castle), slide into",Pinnacle . . . bound up . . . olden times. [10],10,カン
隊,1,隊①,隊,"regiment, party, company, squad",Pinnacle . . . animal horns . . . sow. [12],12,タイ
隊,2,墜,墜,"crash, fall (down)",Regiment . . . ground. [15],15,ツイ
隊,2,隊②,隊,,,,
⻏,2,邸,邸,"residence, mansion",Calling card . . . city walls. [8],8,テイ
⻏,3,郭,郭,"enclosure, quarters, fortification, red-light district",Receive . . . city walls. [11],11,カク
⻏,4,郡,郡,"county, district",Old boy . . . city walls. [10],10,グン
⻏,5,郊,郊,"outskirts, suburbs, rural area",Mingle . . . city walls. [9],9,コウ
⻏,6,部,部,"section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine",Muzzle . . . city walls. [11],11,ブ
⻏,7,都,都,"metropolis, capital, all, everything",Someone . . . city walls. [11],11,ト、ツ
⻏,8,郵,郵,"mail, stagecoach stop",Droop . . . city walls. [11],11,ユウ
⻏,9,邦,邦,"home country, country, Japan",Bushes . . . city walls. [7],7,ホウ
⻏,10,那,那,what?,Bushes . . . city walls. [7],7,ナ、 ダ
⻏,11,娜,娜,graceful,,,
⻏,12,梛,梛,type of tall evergreen tree,,,
耶,1,耶①,耶,,,,
耶,2,揶,揶,,,,
耶,3,椰,椰,,,,
耶,4,爺,爺,,,,
耶,4,耶②,耶,,,,
丘,1,丘①,丘,"hill, knoll","Since this supposedly pictographic representation of a hill looks like anything but, picture a row of axes driven into the ground up to their heads, and see if that doesn’t present a more memorable image of hill—at least a riskier one sliding down! [5]",5,
丘,2,岳,岳,"point, peak, mountain","Think of the key word as referring to proper names of mountains, but do not confuse with mountain peak (frame 773). The elements are: hill . . . mountain. [8]",8,ガク
丘,3,兵,兵,"soldier, private, troops, army, warfare, strategy, tactics",Hill . . . animal legs. [7],7,ヘイ、ヒョウ
丘,4,浜,浜,"seacoast, beach, seashore",Water . . . soldier. [10],10,ヒン
丘,4,丘②,丘,,,,
川,1,川①,川,"stream, river, river or three-stroke river radical (no. 47)","We have taken the image of a river stream over into English to describe things that fall down in straight lines, or ripple along in lines. All of this is more than evident in the kanji given here, a pictograph of a stream. [3]",3,セン
川,1,川②,川,"stream, flood","* as a primitive, this character adds to the meaning of stream the more vivid image of a flood. Note, however, that there are certain small changes in the writing of the element, depending on where it appears relative to other elements:
on the left, it is written 川
on the top, it is written 巛
on the bottom, it is written ",,セン
川,2,州,州,"state, province","Here we see drops of land (little islets) rising up out of a stream, creating a kind of sandbar or breakwater. Ever wonder how the state-line is drawn between states separated by a river? If there were little drops of land as in the kanji, there’d be nothing to it. [6]",6,シュウ、ス
川,3,順,順,"obey, order, turn, right, docility, occasion","In primitive language, this character would read stream . . . head. And that turns out to be convenient for remembering its meaning of obey. Either one obeys the person who is head of an organization or else obeys by following the stream of opinion (“current” practice, we call it). Both these senses come together in this kanji. [12]",12,ジュン
川,3,川③,川,,,,
川,1,川④,川,"stream, river, river or three-stroke river radical (no. 47)","We have taken the image of a river stream over into English to describe things that fall down in straight lines, or ripple along in lines. All of this is more than evident in the kanji given here, a pictograph of a stream. [3]",3,
川,2,訓,訓,"instruction, Japanese character reading, explanation, read","The personalism connoted by the word instruction, as opposed to “teaching” or “discipline,” suits the picture here of words guiding one’s progress like the gentle flowing of a stream. Even the etymology of the word instruction suggests the sense of “pouring into”. [10]",10,
川,3,釧,釧,,,,
川,4,馴,馴,,,,
川,4,川⑤,川,,,,
巛,1,巛①,巛,"stream, flood","* as a primitive, this character adds to the meaning of stream the more vivid image of a flood. Note, however, that there are certain small changes in the writing of the element, depending on where it appears relative to other elements:
on the top, it is written 巛",,
巛,2,拶,拶,"be imminent, draw close",Hand . . . flood . . . Bones. [12],12,サツ
巛,2,巛②,巛,,,,
,2,荒①,荒,"laid waste, rough, rude, wild",The flowers that perish in the flood are taken here as symbols of an area that has been laid waste. [9],9,コウ
,3,慌,慌,"disconcerted, be confused, lose one's head",State of mind . . . laid waste. [12],12,コウ
雨,1,雨①,雨,rain,"This kanji, also a primitive, is one of the clearest instances we have of a complex pictograph. The top line is the sky, the next 3 strokes a pair of clouds, and the final 4 dots the rain collected there and waiting to fall. [8]",8,ウ
雨,1,雨②,雨,"rain, whether","* as a primitive it can mean either rain or weather in general. Because it takes so much space, it usually has to be contracted into a crown by shortening the second and third strokes into a crown like this: U.",,ウ
雨,2,雲,雲,cloud,"Here is the full character for cloud from which the primitive for a rising cloud derives. Clouds begin with vapours rising up in small clouds from the surface of the earth, and then gathering to make clouds that eventually dump their rain back on the earth. [12]",12,ウン
雨,3,曇,曇,"cloudy weather, cloud up",We refer to days when the sun is covered by the clouds as cloudy weather. [16],16,ドン
雨,4,雰,雰,"atmosphere, fog",[12],12,フン
雨,5,雷,雷,"thunder, lightning bolt","The full rumble and roar and terror of thunder is best felt not with your head tucked under your pillow safe in bed, but out in an open rice field where you can get the real feel of the weather. [13]",13,ライ
雨,6,霜,霜,frost,"Think of frost as a cooperative venture, an inter-action of the malevolent forces of weather that sit around a conference table and finally decide to allow a very light amount of moisture to fall just before a short and sudden freeze. [17]",17,ソウ
雨,6,雨③,雨,,,,
冫,1,冫①,冫,ice,"* ice, The condensation of the three drops we have been using to mean water into two drops signals the solidifying of water into ice. Note that when this primitive appears to the left, it is written like the last two strokes of the element for water, Å, whereas under another primitive, it is written like the first two strokes of the water primitive: V. [2]",2,
冫,2,冬,冬,winter,Walking legs slipping on the ice are a sure sign of winter. [5],5,トウ
冫,2,冫②,冫,,,,
,2,塁,塁,"bases, fort, rampart, walls, base(ball)",The kanji of this frame refers to the four bases that are placed at the corners of a baseball infield. The elements: field . . . sparkler . . . ground. [12],12,ルイ、 ライ、 スイ
,3,率,率,"ratio, rate, proportion, %, factor, lead, spearhead, command",Mysterious . . . sparkler . . . ten. Do not confuse with proportion (frame 1553). [11],11,ソツ、 リツ、 シュツ
,4,渋,渋,"astringent, hesitate, reluctant, have diarrhea",Water . . . footprint . . . sparkler. [11],11,
,5,摂,摂,"vicarious, surrogate, act in addition to, take in, absorb",Fingers . . . ear . . . sparkler. Do not confuse with substitute (frame 1005). [13],13,セツ、 ショウ
楽,1,楽①,楽,"music, comfort, ease",Dove . . . sparkler . . . tree. [13],13,ガク、ラク、ゴウ
楽,2,薬,薬,"medicine, chemical, enamel, gunpowder, benefit",Flowers . . . music. [16],16,ヤク
楽,2,楽②,楽,,,,
樂,1,樂①,樂,"music, comfort",Variants of 楽,,ガク、ラク、ゴウ
樂,2,藥,藥,"medicine, chemical, enamel, gunpowder, benefit",,,
樂,3,擽,擽,"tickle, funny",,,
樂,4,櫟,櫟,oak for charcoal,,,
樂,4,樂②,樂,,,,
⺡,2,活②,活,"lively, resuscitation, being helped, living","When we speak of a lively personality or a lively party, we immediately think of a lot of chatter. This kanji depicts the idea of lively by having tongues babble and splash around like flowing water. [9]",9,カツ
⺡,3,沼,沼,"marsh, lake, bog, swamp, pond","Unlike the meadow with its cliffs, the marshlands are low and near a source of water that feeds them until they get soggy through and through. Why certain land becomes marshy is probably due to the fact that it felt thirsty, and so tried its best to seduce the water over to its side. But, like most inordinate seductions, the last state of the victim is worse than the first. Hence the slushy marsh. [8]",8,
⺡,4,江,江,"creek, inlet, bay","Unlike the river, the ocean, the lake, and the pond, the creek is often no more then a dribble of water trickling down a small gully. While the geological history of the larger bodies of water is hard to surmise sometimes, all of us know from our childhood how creeks are made. You probably even dug one or two in your time. All you need to do is find a mainstream of water somewhere and dig a little path into dry land. The creek is thus a Lesson in water-craft, as this kanji would agree. [6]",6,コウ
⺡,5,潮,潮,"tide, salt water, opportunity","Before we get to explaining this character, take a look at it and see if you can figure out the primitive elements on your own…. On the left is the water—that much is easy. On the right we have only one primitive, the kanji for morning learned back in frame 52. See how an apparently complex kanji falls apart neatly into manageable pieces? To get the meaning of the key word tide, just think of it in connection with the character for eventide that we learned back in frame 110. Here we have the morning-tide, its complement. By the way, if you missed the question about the number of primitives, it is probably because you forgot what we said earlier about kanji becoming primitives, independently of the pieces that make them up. as a rule, look for the largest kanji you can write and proceed from there to primitives stranded on their own. [15]",15,チョウ
⺡,6,況,況,"condition, situation","This key word is a connector used to link contrasting phrases and sentences together with much the same flavor as the English phrase but of course. Just picture yourself ready to go off on your first date as a teenager, and having your mother grill you about your manners and ask you embarrassing questions about your hygiene. “Did you have a good shower?” “But of course…,” you reply, annoyed. So water and teenager combine to give us but of course. [8]",8,キョウ
⺡,7,河,河,river,"The character in this frame represents a step up from the stream we met in frame 127; it is a full-sized river. The water to the left tells us what we are dealing with, and the can at the right tells us that our “little engine that could” has now become amphibious and is chugging down the Mighty Mississip’ like a regular riverboat. [8]",8,カ
⺡,8,泊,泊,"overnight stay, put up at, ride at anchor","When you stop at an inn for an overnight rest, all you expect is a bit of water for a wash and a set of clean white sheets to wrap your weary bones in. [8]",8,ハク
⺡,9,測,測,"fathom, plan, scheme, measure","Connoting the measurement of the depth of water, the key word fathom begins with the water primitive. To its right, we see the compound-primitive for rule (frame 88) which we learned in the sense of a “ruler” or “measure.” Hence, when we rule water we fathom it. What could be simpler? But be careful; its simplicity is deceptive. Be sure to picture yourself fathoming a body of water several hundred feet deep by using a ruler of gargantuan proportions. [12]",12,ソク
⺡,10,湖,湖,lake,"Water . . . old . . . flesh. You have heard of legends of people being abandoned in the mountains when they had become too old to work. Well, here is a legend about people being set adrift in the waters of a stormy lake because their flesh had gotten too old to bear the burdens of life. [12]",12,コ
⺡,11,游,游,"float, swim",Banners . . . children . . . water. [12],12,ユウ、リュウ
⺡,12,染,染,"dye, colour, paint, stain, print","Water . . . nine . . . tree. From those elements you must compose a plot for the key word, dye. Here, as elsewhere, any of the alternate meanings of the primitives may be used, provided they do not require a position other than that of the kanji in question. [9]",9,セン
水,1,水①,水,water,"This character, which looks a bit like a snowflake, is actually a pictograph of water—not any particular body of water or movement of water, but simply the generic name for water. Should you have any difficulty remembering it, simply think of a walking stick being dropped vertically into the water, sending droplets out in all four directions. Then all you need to learn is how to write it in proper order. [4]",4,スイ
水,1,水②,水,water,"* as a primitive, this character can keep its form, or it can be written with three drops to the left of another primitive, like this: Y. This latter, as we will see, is far more common.",,スイ
水,2,氷,氷,"icicle, ice, hail, freeze, congeal","The appearance of the primitive for water in its full form tells us that we have something to do with water here. The extra drop to the left, added as a second stroke, changes the picture from a splash caused by a walking stick dropped into water to form an icicle. If you hold an icicle up to the light, you can usually see little crystallizations of five-pointed stars inside of it, which is the shape we have in this kanji. [5]",5,ヒョウ
水,3,泉③,泉,"spring, fountain","Call to mind the image of a fresh, bubbling spring of water, and you will probably notice how the top of the spring you are thinking of, the part where the “bubbling” goes on, is all white. Happily, the white is just where it should be, at the top, and the water is at the bottom. [9]",9,セン
水,3,水③,水,,,,
永,1,永①,永,"eternity, long, lengthy","This kanji also uses the full form of water, though its meaning seems to have nothing at all to do with water. Remember what William Blake said about seeing “infinity in a grain of sand and eternity in an hour”? Well, reading this character from top to bottom, we see “eternity in a drop of water.” [5]",5,エイ
永,2,泳,泳,swim,"The primitive to the left, you will recall from frame 130, represents water. To the right, we see the kanji for eternity. Knowing how much children like swimming, what could be a better image of eternal bliss than an endless expanse of water to swim in without a care in the world? [8]",8,エイ
永,2,永②,永,,,,
平,1,平①,平,"even, flat, peace","This character is easiest remembered as a pictograph of a water lily floating on the surface of the water, which gives it its meaning of even. The fourth stroke represents the calm, smooth surface of a pond, and the final stroke the long stem of the plant reaching underwater. [5]",5,ヘイ、ビョウ、ヒョウ
平,1,平②,平,water lily,"* as a primitive, this kanji can keep its pictographic meaning of a water lily.",,ヘイ、ビョウ、ヒョウ
平,2,呼,呼,"call, call out to, invite",Mouth . . . water lily. Note: this is the one time that the “stem” has a barb at the end. Work this fact into your story. [8],8,コ
平,3,坪,坪,"two-mat area, approx. thirty-six sq ft","This kanji belongs to an old Japanese system of measurement and indicates an area of about 36 square feet, or the area taken up by two tatami mats. Its elements: ground . . . water lily. [8]",8,ヘイ
平,4,秤,秤,,,,
平,5,評,評,"evaluate, criticism, comment",Words . . . water lily. [12],12,ヒョウ
平,6,鮃,鮃,,,,
平,6,平③,平,,,,
土,1,土①,土,"soil, earth, ground, Turkey","I don’t like it any more than you do, but this kanji is not the pictograph it is trumped up to be: a mound of soil piled on the ground. All I can recommend is that you memorize it as it is. Anyway, it will be occurring with such frequency that you have almost no chance of forgetting it, even if you try. [3]",3,ド、ト
土,1,土②,土,"soil, dirt, land","* as a primitive, the sense of soil is extended to that of ground because of its connection with the kanji for the same (frame 515). From there it also takes the added meanings of dirt and land.",,ド、ト
土,2,吐,吐,"spit, vomit, belch, confess, tell (lies)",We have here a rather small mouth (it is always compressed when set on the left) next to a much larger piece of dirt. It is not hard to imagine what you might do if you got a mouth full of dirt. As least I know what I would do: spit it out as fast and far as I could! [6],6,ト
土,3,圧,圧,"pressure, push, overwhelm, oppress, dominate","One of the things that causes the erosion of soil is the excessive pressure of the topsoil on the lower soil. This can be caused by any number of things from heavy rainfall to heavy buildings to the absence of sufficient deep-rooted vegetation to hold the layers together. Here we see a steep cliff without a tree in sight. The slightest pressure on it will cause a landslide, which you can almost see happening in this character. [5]",5,アツ、エン、オウ
土,4,埼,埼,"cape, spit, promontory","The cape pictured here is a jut of land like Cape Cod. The soil on the left tells us we have to do with land, and the strange on the right tells us it is a cape where unusual things go on. Put a haunted house on it, an eerie sky overhead, and a howling wind rustling through the trees, and you have yourself a picture of Cape Strange (or, if you prefer, Cape Odd). [11]",11,
土,5,坦,坦,"level, wide","The hedge depicted in this frame is the miraculous hedge of briar roses that completely spanned the castle grounds in which Sleeping Beauty lay for a hundred years, so that none but her predestined beloved could find his way through it. [9]",9,
土,6,均,均,"level, average","The level this key word refers to is not the carpenter’s tool but rather the even surface of a thing. It pictures soil being scooped up into a ladle and then made level (apparently because one is measuring soil). The excess drops of soil are brushed off the top, which accounts for the added drop at the ladle’s edge. [7]",7,キン
土,6,土③,土,,,,
寺,1,寺①,寺,Buddhist temple,"You have heard of people “attaching” themselves to a particular sect? Here is your chance to take that metaphor literally and imagine some fellow walking into a Buddhist temple with a fervent resolve to attach himself to the place. Since there is plenty of unused land around the precincts, he simply picks out a suitable patch, brushes the soles of his feet with glue, steps down firmly, and so join the Buddhist temple as a “permanent member.” [6]",6,ジ
寺,2,時,時,"time, hour","“What is time?” asked St. Augustine in his memoirs. “Ask me not, and I know. Ask me, and I cannot tell you.” Here we have the kanji’s answer to that perennial riddle. Time is a sun rising over a Buddhist temple. It sounds almost like a Zen kõan whose repetition might yield some deep secret to the initiated. At any rate, imagining a monk seated in meditation pondering it might help us remember the character. [10]",10,ジ
寺,2,寺②,寺,,,,
圭,1,圭①,圭,"square jewel, corner, angle, edge","Now I am going to do something unusual. The character in this frame is going to get one meaning and the primitive another, with no relation at all between the two. In time, I hope you will see how helpful this is. The kanji key word, square jewel, depicts a mammoth precious stone, several feet high, made by piling up large heaps of soil on top of one another. Not something you would want to present your betrothed on your wedding day, but a good image for remembering this rare character, used chiefly in personal names nowadays. [6]",6,ケイ、ケ
圭,1,圭②,圭,"ivy, that creepy vegetation that covers the surface of the ground to form a sort of “second” ground that can get somewhat tricky to walk on without tripping.","* as a primitive, we shall use this character to mean ivy, that creepy vegetation that covers the surface of the ground to form a sort of “second” ground that can get somewhat tricky to walk on without tripping.",,ケイ、ケ
圭,2,封,封,"seal, closing","Think of the key word seal as referring to a letter you have written and are preparing to close. Instead of using the traditional wax seal, you glue a sprig of ivy on the outside. In this way the elements ivy and glue give you a curious and memorable way to seal your secret letters. [9]",9,フウ、ホウ
圭,3,涯,涯,"horizon, shore, limit, bound","After seeing a constant horizon of water, water everywhere for months at sea, could there be anything more delightful to the eyes than to look astern and see the ivy-clad cliffs of land on a new horizon? Of course, you’d need the eyes of a stellar telescope to recognize that the vegetation was in fact ivy, but the phrase “ivy-clad cliffs” has such a nice ring to it that we won’t worry about such details. [11]",11,ガイ
圭,3,圭③,圭,,,,
𠮷,1,𠮷①,𠮷,lidded crock,* lidded crock B Soil over the mouth of a container gives us a piece of clay pottery with its lid. Behold the lidded crock. [6],6,
𠮷,2,舎,舎,"cottage, inn, hut, house, mansion",A lidded crock with an umbrella overhead gives us a mixture of the modern and the nostalgic in this design for a cottage. [8],8,シャ、 セキ
𠮷,2,𠮷②,𠮷,,,,
周,1,周①,周,"circumference, circuit, lap","Look more closely at your lidded crock and you will see little ruler marks along its bottom edge. This is so you can use it to calculate the circumference of your motorcycle helmet: just begin at a fixed point and turn the lidded crock around and around, keeping it flush against the side of the helmet, until you come back to your starting point. If you kept track of how many turns and part-turns your lidded crock made, you now know the circumference. [8]",8,シュウ
周,1,周②,周,lap,"* as a primitive, this character can take the added significance of a lap. 1",,シュウ
周,2,週,週,week,"Picture a circular road with 7 markers on it, one for each day of the week. When you have walked one complete lap on this road, you shall have completed one week. [11]",11,シュウ
周,2,周③,周,,,,
圥,1,圥①,圥,rice seedlings,"As we mentioned back in frame 234, rice seedlings get an element all their own: soil and man legs becomes an ideograph of the spikelets of rice bunched together for implanting in the muddy soil of the paddy. [5]",5,
圥,2,凌,凌,"endure, keep (rain)out, stave off, tide over, defy, slight, surpass",ice . . . rice seedlings . . . walking legs. [11],11,
圥,3,崚,崚,mountains towering in a row,mountains . . . rice seedlings . . . walking legs. [11],11,リョウ
圥,4,陵,陵,"mausoleum, imperial tomb, mound, hill",Pinnacle . . . rice seedlings . . . walking legs. [11],11,リョウ
圥,5,麸,麸,,,,
圥,6,菱,菱,"diamond (shape), water chestnut, rhombus",flower . . . rice seedlings . . . walking legs. [11],11,
圥,7,稜,稜,,,,
圥,8,蔆,蔆,,,,
圥,9,綾,綾,,,,リン
圥,10,薐,薐,,,,
圥,10,圥②,圥,,,,
坴,1,坴①,坴,"clod of earth, land",Rice seedlings . . . ground. [8],8,
坴,2,陸,陸,"land, six","land seen from a distance, that is, land as opposed to “water.” Its elements: pinnacle . . . rice seedlings . . . ground. [11]",11,リク、ロク
坴,3,睦,睦,"intimate, friendly, harmonious",eye . . . rice seedlings . . . ground. [11],11,ボク、 モク
坴,4,勢,勢,"forces, energy, military strength",Rice seedlings . . . ground . . . fat man . . . power. [15],15,セイ、ゼイ
坴,5,熱,熱,"heat, temperature, fever, mania, passion",Rice seedlings . . . ground . . . fat man . . . oven fire. [15],15,ネツ
坴,5,坴②,坴,,,,
士,1,士①,士,"gentleman, scholar, samurai, samurai radical (no. 33)","The shape of this kanji, slightly differing from that for soil by virtue of its shorter final stroke, hints at a broad-shouldered, slender-waisted warrior standing at attention. When feudalism collapsed, these warriors became Japan’s gentlemen. [3]",3,シ
士,1,士②,士,"samurai, Japan’s warrior class","* The primitive meaning reverts to the more colourful image of the samurai, Japan’s warrior class.",,シ
士,2,壮,壮,"robust, manhood, prosperity",Robust is seen as a turtle turned samurai. [6],6,ソウ
士,3,荘,荘,"villa, inn, cottage, feudal manor, solemn, dignified","The villa pictured here is filled with exotic flowers at every turn, and has a pair of turtle-samurai standing before its gates. [9]",9,
士,4,売,売,sell,"A samurai, out of a job, is going door-to-door selling little windup crowns with human legs that run around on the floor looking like headless monarchs. [7]",7,バイ
士,5,声,声,voice,"The samurai at the top is familiar enough. The combination beneath, which looks like a flag with a line running through it, is not. Try to devise some way to take note of it, and pay attention to the writing. [7]",7,セイ、ショウ
士,5,士③,士,,,,
吉,1,吉①,吉,"good luck, joy, congratulations","Here we see a samurai standing on a street with an open mouth, which people walk up to and look down deep inside of for good luck. [6]",6,キチ、 キツ
吉,1,吉②,吉,an aerosol can,"* as a primitive, we shall take this shape to mean an aerosol can, from the mouth and the very tightly-fitting lid (note how it differs here from the lidded crock).",,キチ、 キツ
吉,2,詰,詰,"packed, close, pressed, reprove, rebuke, blame",A piece of writing that is pregnant with meaning and needs to be reread several times to be understood we refer to colloquially as “packed.” The character sees the words as sealed tightly inside an aerosol can. [13],13,キツ、キチ
吉,3,結,結,"tie, bind, contract, join, organize, do up hair, fasten",Thread . . . aerosol can. [12],12,ケツ、 ケチ
吉,3,吉③,吉,,,,
志,1,志①,志,"intention, plan, resolve, aspire, motive, hopes, shilling",Samurai . . . heart. [7],7,
志,2,誌,誌,"document, records",Words . . . intention. [14],14,
志,3,痣,痣,,,,
志,3,志②,志,,,,
豆,1,豆①,豆,"beans, pea, midget","This kanji depicts a pot of beans, although it looks more like a table on which the pot is resting. [7]",7,トウ、 ズ
豆,1,豆②,豆,table,"* as a primitive, this kanji will mean table.",,トウ、 ズ
豆,2,頭,頭,"head, counter for large animals",Here we meet at last the full kanji on which the primitive for head is based. The elements: table . . . head. [16],16,トウ、ズ、ト
豆,3,短,短,"short, brevity, fault, defect, weak point",Dart . . . table. [12],12,タン
豆,4,豊,豊,"bountiful, excellent, rich","Bend . . . table. Think of a bountiful harvest, and you will not be far from the meaning of this character. [13]",13,ホウ、ブ
豆,4,豆③,豆,,,,
壴,1,壴①,壴,drum,"* drum OE The element meaning drum shows a samurai over a table. The top stroke of the table is appears to be missing, but actually it has simply doubled up with the final stroke of the element for samurai. [9]",9,
壴,2,鼓,鼓,"drum, beat, rouse, muster","The full kanji for the drum adds a branch, apparently to serve as a drumstick, to the primitive for drum. [13]",13,コ
壴,2,壴②,壴,,,,
喜,1,喜①,喜,"rejoice, take pleasure in",Drum . . . mouth. [12],12,キ
喜,2,樹,樹,"timber, trees, wood, establish, set up",Trees . . . drum . . . glue. [16],16,ジュ
喜,2,喜②,喜,,,,
壹,1,壹①,壹,,,,
壹,2,噎,噎,,,,
壹,3,殪,殪,,,,
壹,4,饐,饐,,,,
壹,5,懿,懿,,,,
壹,5,壹②,壹,,,,
臺,1,臺①,臺,,,,
臺,2,擡,擡,,,,
臺,3,薹,薹,,,,
臺,3,臺②,臺,,,,
壽,1,壽①,壽,,,,
壽,2,儔,儔,,,,
壽,3,擣,擣,,,,
壽,4,濤,濤,,,,
壽,5,檮,檮,,,,
壽,6,疇,疇,,,,
壽,7,籌,籌,,,,
壽,8,躊,躊,,,,
壽,9,鑄,鑄,,,,
壽,9,壽②,壽,,,,
壽,1,壽③,壽,,,,
壽,1,壽④,壽,,,,
壽,1,壽⑤,壽,,,,
壽,1,壽⑥,壽,,,,
壽,1,壽⑦,壽,,,,
壽,1,壽⑧,壽,,,,
壽,1,壽⑨,壽,,,,
壽,1,壽⑩,壽,,,,
壽,1,壽⑪,壽,,,,
壽,1,壽⑫,壽,,,,
壽,1,壽⑬,壽,,,,
壽,1,壽⑭,壽,,,,
壽,1,壽⑮,壽,,,,
壬,1,壬①,壬,the samurai is carrying in his role as the master’s porter,* porter b Let the extended dot at the top represent the load that the samurai is carrying in his role as the master’s porter. [4],4,
壬,2,妊,妊,pregnancy,"A woman who is in her pregnancy is a bit like a porter, bearing her new companion wherever she goes. [7]",7,
壬,3,淫,淫,"lewdness, licentiousness",,,イン
壬,4,廷,廷,"courts, imperial court, government office","Those who rule the courts, the porters of justice and order, are often found to stretch the law to suit their own purposes. Recall the kanji for prolong from frame 392 and keep it distinct. [7]",7,テイ
壬,4,壬②,壬,,,,
任,1,任①,任,"responsibility, duty, term, entrust to, appoint",Person . . . porter. [6],6,ニン
任,2,賃,賃,"fare, fee, hire, rent, wages, charge",Responsibility . . . shells/money. [13],13,チン
任,3,凭,凭,,,,
任,4,恁,恁,,,,
任,5,姙,姙,,,,
任,5,任②,任,,,,
殼,1,殼②,殼,"husk, nut shell",Samurai . . . superfluous . . . missile. [11],11,
殼,2,殻,殻,"husk, nut shell",,,カク、 コク、 バイ
殼,3,穀,穀,"cereals, grain",Samurai . . . crown . . . wheat . . . missile. [14],14,コク
殼,3,殼③,殼,,,,
火,1,火①,火,fire,"Just as sitting before a fire enlivens the imagination and lets you see almost anything you want to in the flames, this kanji is so simple it lets you see almost any sort of fire you want to see. It no longer makes a good pictograph, but I invite you to take a pencil and paper and play with the form—first writing it as shown below and then adding lines here and there—to see what you can come up with. Everything from matchbooks to cigarette lighters to volcanic eruptions to the destruction of Sodom and Gomorrah have been found here. No doubt you, too, will find something interesting to bend your memory around these four simple strokes. [4]",4,カ
火,1,火②,火,fire,"* To avoid confusion later on, it is best to keep to the meaning of a fireplace (or hearth) or a raging conflagration like a forest fire for this kanji’s primitive meaning. Another primitive element for fire, based on this one, is written ½ and will mean flames, cauldron, cooking fire, or an oven fire.",,カ
火,2,煩②,煩,"anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome","The existential condition of anxiety that arises from the inevitable frustration of our worldly passions is contained in this character. The head is set afire, causing deep torment of spirit (and a whopper of a headache). [13]",13,ハン、 ボン
火,3,灯,灯,"lamp, a light, light, counter for lights","Since it is very hard to read by the fireplace without going blind from the flickering of the flames or burning up from the heat, our ancestors invented a way to nail down a bit of that fire, just enough to light up the text of their evening newspapers and no more. Voilà! The lamp. [6]",6,トウ
火,4,畑,畑,"farm, field, garden, one's specialty, (kokuji)","Looking at the primitives, a fireplace and a rice field, we find the essential ingredients for a farm: a warm hearth to sit by at night, and a well-ploughed field to grow one’s crops in by day. [9]",9,
火,5,燃,燃,"burn, blaze, glow","Hearth . . . sort of thing. Beware of letting the simple reading off of the primitive elements do your work for you. Unless you make a vivid image of something burning and relate it just as vividly to those primitive meanings, you can count on forgetting this character very quickly. [16]",16,ネン
火,6,災,災,"disaster, calamity, woe, curse, evil","Of all of nature’s disasters, this kanji picks out two of the worst: floods and fires. To recall the disposition of the elements, think of nature’s solution to nature’s own problem: a great flood pouring down over a great forest fire. [7]",7,サイ
火,7,灰,灰,"ashes, puckery juice, cremate","The kanji for ashes naturally includes the primitive for fire, or more specifically, a fireplace. Now what do you do with that bucket of ashes you have just cleaned out of the fireplace? You walk to the edge of a cliff and tip it upside down, watching as they are swept away in the wind like a swarm of gray mosquitoes. Thus the fire, once it has turned to ashes, ends up at the bottom of the cliff. [6]",6,カイ
火,8,炎,炎,"inflammation, flame, blaze","A fire belongs in the hearth, not over it. When the fire spreads to the rest of the house, we have an inflamed house. And as with any inflammation—including those that attack our bodies— the danger is always that it might spread if not checked. This is the sense behind the reduplication of the kanji for fire. [8]",8,エン
火,9,淡,淡,"thin, faint, pale, fleeting","The primitives in this kanji read: water . . . inflammation. Taking inflammation in its medical sense, the first water-related inflammation that pops into mind is dehydration, the principal symptom of which is that it makes one shrivel up and look very, very thin. If that is hard to remember, try thinking it backwards: a very thin chap passes by and you imagine him suffering from (being inflamed with) dehydration (hence the element for water). [11]",11,タン
火,9,火③,火,,,,
⺣,2,点②,点,"spot, point, mark, speck, decimal point","If you look into the flickering of a fire for a long time and then turn aside, you will see spots before your eyes. Although nobody ever thought of such a thing before—as least as far as I know, they didn’t—imagine using those spots as a technique for fortune-telling. The old witch sits before her cauldron and watches the spots that show up when she turns to look at you, and from that tells your fortune. [9]",9,テン
