group_number,group_kanji,group_meaning,group_story,onyomi
398,告,"revelation, tell, inform, announce","Folklore throughout the world tells us of talking animals who show a wisdom superior to that of human beings, and that same tradition has found its way into television shows and cartoons right into our own century. This character depicts revelation through the mouth of a cow, suggesting oracular utterances about truths hidden to human intelligence. [7]",
399,大,"large dog, St. Bernard dog","* as a primitive, we need a different meaning, since the element representing the human person will come up later. Hence, this shape will become a large dog or, if you prefer, a St. Bernard dog. In frame 238 we will explain why this choice was made.",ダイ、タイ
400,脊,"stature, height",Big… Flesh,セキ
401,臭,"stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright","This character is a bit friendlier to the animal world. Our friend the St. Bernard is alive and well, its nose in the air sniffing suspiciously after something stinking somewhere or other. [9]",シュウ
403,犬,dog,"We have already learned that the character for large takes on the meaning of the St. Bernard dog when used as a primitive. In this frame we finally see why. The drop added as a fourth and final stroke means that we have to do with a normal-sized dog, which compared to the St. Bernard is no more than a drop in the kennel. [4]",
404,⺨,"hunt, raid, gather","One of the worst problems you have to face when you go hunting is to guard your take from the wild dogs. If you imagine yourself failing at the task, you will probably have a stronger image than if you try to picture yourself succeeding. [9]",シュ
405,太,"plump, thick, big around",“Plump” is one of those delightful English words that almost sound like their meaning. No sooner do you hear it than you think of a round and ample-bodied person falling into a sofa like a large drop of oil plopping into a fishbowl—kerrrr-plump! [4],タイ、タ
406,天,"heavens, sky, imperial","This character is meant to be a pictograph of a great man, said to represent the Lord of the Heavens. (You may, of course, use the elements ceiling and St. Bernard instead.) [4]",テン
407,夭,"early death, calamity",Big… limit,ヨウ、オウ、カ
408,喬,angel,"* angel å The sense of the primitive, angel, derives from the primitive for heavens replacing the top hat in the character for tall. [12]",
409,呑,,,
410,关,golden calf,"* golden calf − The story is told of the people of the Exodus that, in their distrust of Moses’ leadership, they gathered together and melted down their gold ornaments to fashion a golden calf for an idol. The animal horns and heavens here represent that god of theirs. [6]",
411,亀,"tortoise, turtle","This is not a turtle (see frame 235) but a tortoise, however you wish to picture the difference. Let the “bound up” at the top refer to the head, and the two suns, with a long tail running through it, to the shell. [11]",キ、 キュウ、 キン
412,奄,"cover, suffocate, obstruct",,
413,竜,a paper parade dragon,"*use as a primitive, you might think here of a paper parade dragon. [10]",リュウ、 リョウ、 ロウ
414,羊,sheep,"* The primitive meaning of sheep can add the further connotations given in the following frame. As we saw with the cow, the “tail” is cut off when it is set immediately over another element: X.",ヨウ
415,美,"beauty, beautiful",Try to think of what the Chinese were on to when they associated the idea of beauty with a large sheep. [9],
416,⺶,"distinction, difference, variation, discrepancy, margin, balance",Wool . . . craft. [10],サ
417,午,"a horse. Any horse image will do, except that of a team of horses","* as a primitive, this character gets the meaning of a horse. Any horse image will do, except that of a team of horses, which will come later (frame 1978) and get its own primitive.",ゴ
418,屰,mountain goat,"* mountain goat • The animal horns and mountain unite, quite naturally, to give us a mountain goat. The extension of the final stroke indicates its tail, which only shows up when it has something under it. In an overhead enclosure, it is to be pictured as standing still, so that its tail droops down and out of sight. [6]",
419,岡,"mount, hill, knoll","Here we see a a mountain goat “mounted” under a glass canopy. In this and the following frames, think of a particular Mount you know. [8]",
421,缶,"tin can, container, jar radical (no. 121)","Though the meaning has no reference to animals, the parts do: horse with a mountain underneath. [6]",カン
422,屯,earthworm,* earthworm ¬ Drop of . . . shovel . . . fishhook. [4],トン
423,豸,skunk,* skunk _ This primitive represents a skunk by combining the claw with the first part of the element for a sow. Note how the final stroke of claw is turned and lengthened to double up with the first stroke of the sow. [7],
424,免,rabbit,"* For the primitive meaning, we shall refer to this character as a rabbit, for which the old form of the character is −. [8]",メン
425,象,"elephant, pattern after, imitate, image, shape, sign (of the times)",A rabbit’s head with the body of a sow represents an elephant. Little wonder that the kanji also means “phenomenon”! [12],ショウ、ゾウ
426,兎,,,
427,馬,a team of horses,"* as a primitive, this kanji will mean a team of horses as distinct from the single horse whose primitive we met earlier. 4",バ
428,虍,tiger,"* as a primitive element itself, the human legs are also swallowed up, but the meaning of tiger is kept, and the whole serves as a roof for what comes beneath, ¾, giving the tiger something else to eat. 4",
429,虚,"void, emptiness, unpreparedness, crack, fissure, untruth",Tigers . . . row. [11],
432,鹿,deer,"Drawn on the walls of a complex of caves near Niaux in southern France are a number of animal likenesses dating from the Upper Paleolithic period. Among them we find pictures of deer, some of them showing men in deer masks. By comparing their drawings to real deer, Stone Age people hoped to acquire power over the animal in the hunt; and by comparing themselves to the deer, to take on that animal’s characteristics. But time has “double-locked” (the extra stroke through the element for lock) the real secret of this art form from us, and we can only surmise such meanings. But more important than the enigmas of the troglodytic mind is the way in which caves, a double-lock, and comparing gives us the kanji for deer. [11]",
433,能,"ability, talent, skill, capacity","Try relating this kanji to that of the previous frame. For instance, you might imagine that the test of ability envisioned here is removing the bear from the oven fire. [10]",ノウ
434,寅,"sign of the tiger, 3-5AM, third sign of Chinese zodiac",House . . . ceiling . . . sprout . . . animal legs. Compare frame 1750. [11],イン
436,辰,"sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)",Cliff . . . two . . . hairpins. [7],
437,農,"agriculture, farmers",Bend . . . sign of the dragon. [13]4,ノウ
438,羽,"feathers, wings","* The related image of wings can be added as a primitive meaning. It can also take the form Â when used as a primitive, as we shall see in frames 576 and 577.",ウ
440,為,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of","This character rightly belongs to the previous Lesson, but we held it until now because of the final element, the tail feathers. After the drop at the outset, the next three strokes are completely novel and should be given special attention. [9]",イ
441,鳥,"bird, chicken","Dove . . . one . . . tail feathers. This is, of course, the character from which we derived the primitive meaning of dove. Note the lengthening of the second stroke. [11]",チョウ
442,㑒,awl,"* awl ¢ We include this element here because of its visible similarity to the element for bundle. Be sure to make a distinct image out of its composite ingredients: meeting . . . mouth . . . person. The stroke order follows the order of the elements exactly, but note how the person runs through the mouth. [8]",
443,隹,turkey,"* turkey @ This primitive is best remembered as an old turkey, complete with pipe and monocle. Its writing is somewhat peculiar, so take note of the order of the strokes. Let the first four strokes stand for the turkey’s head, neck, and drooping chin. The remainder can then be pictographic of the plumage. [8]",
444,焦,"char, hurry, impatient, irritate, burn, scorch, singe",Turkey . . . oven fire. [12],ショウ
445,隻,"vessels, counter for ships, fish, birds, arrows, one of a pair",The key word indicates the Japanese generic term for counting ships. Its elements: turkey . . . crotch. [10],セキ
446,矍,,,
447,歡,"delight, joy",Cup . . . Crotch . . .yawn. [10],カン
448,應,,,
449,隺,"By combining the horse (giving a twist to its final stroke a bit to the left to keep the strokes from overlapping) with the turkey, we get a flying horse or Pegasus","* Pegasus Z By combining the horse (giving a twist to its final stroke a bit to the left to keep the strokes from overlapping) with the turkey, we get a flying horse or Pegasus. Be sure not to confuse with the turkey house from frame 567. [11]",
450,䍃,condor,"* condor oe Vulture . . . king . . . mountain. By now you should be used to finding two elements double up on a stroke, as is the case here with king and mountain. [9]",
451,也,scorpion,"* scorpion ˜ This primitive is a pictograph of the scorpion, the first 2 strokes representing its head and pincers, the last stroke its barbed tail, in which you may recognize the fishhook. [3]",
452,己,snake,"* as a primitive ELEMENT, this kanji can be used for the snake— of which it is a pictograph—or any of the various concrete symbolic meanings the snake has in myth and fable. [3]",コ、 キ
453,包,wrap with snake,* The primitive meaning of wrap should always be used with the snake in mind to avoid confusion with similar terms. Just let “wrap” mean “with a snake coiled about it.”,ホウ
454,㔾,fingerprint,"* fingerprint ‡ The primitive for fingerprint is like that for stamp except that the second stroke bends back towards the right, like an arm. [2]",
455,危,"dangerous, fear, uneasy",Bound up . . . unlucky. [6],キ
456,夗,mailbox,* mailbox ˆ Evening . . . fingerprint. [5],
457,弓,"bow, bow (archery, violin)","This character pictures the bent wooden bow. Later we will learn how to make the bowstring that goes with it (frame 1386). If you stretch this character out and see the indentation on the left as its handle, the pictography should be clearer. [3]",キュウ
459,弟,"younger brother, faithful service to elders",Horns . . . dollar sign. [7],
460,強,strong,Vast . . . insect. Note how the elbow of vast is shrunken and elevated to make room for the insect beneath. [11],
461,弗,dollar,"* dollar sign X Composed of two walking sticks running through a bow, this character is infrequent as a primitive, and yet easy to remember for what it looks like (which is also what the Japanese adopted it to mean in days gone by): the dollar sign, $. When it is written under another element, the first vertical stroke is abbreviated to a short “tail” as the final stroke, and the second vertical stroke is cut off at the top. Examples follow in frames 1239 and 1240. [5]",
462,丂,"snare (a trap for catching birds or mammals, typically one having a noose of wire or cord)","* snare ! The simple snare composed of a piece of vine and a bent twig is depicted here as a sort of abbreviation of the bow, to which it is related. [2]",
464,夸,,St. Bernard dog . . . ceiling . . . snare. [13],
465,咢,outspokenly,Mouth . . . Mouth . . . snare. [5],
467,与,"bestow, participate in, give, award, impart, provide, cause, gift, godsend",Slingshot . . . one. Later we shall learn the character for give (frame 1897). But already here we can take care to distinguish this key word from impart (frame 736) and grant (frame 1052). [3],ヨ
468,王,"king, scepter","* as a primitive, this can mean either king or sceptre, but it will usually be taken as an abbreviation of the character in the next frame.",オウ、-ノウ
469,呈,"display, offer, present, send, exhibit","The trick to remembering this character lies in associating the key word with the line from the nursery rhyme about 4 and 20 blackbirds baked in a pie: “Wasn’t this a dainty dish to set before the king?” If we think of display in terms of that famous line, and the king with his head thrown back and his mouth wide open as 4 and 20 blackbirds fly in one after the other, we shall have satisfied both the elements and their position. [7]",
470,皇,emperor,"An emperor, as we all know, is a ruler—something like a king but higher in status. The white bird perched above the king, elevating him to imperial heights, is the messenger he sends back and forth to the gods to request advice and special favours, something that white birds have long done in folklore throughout the world. [9]",コウ、オウ
471,主,Candlestick,"* as a primitive ELEMENT, we set the key word aside entirely and take it as a pictograph of a solid brass candlestick (with the drop representing the flame at the top).",シュ、ス、シュウ
472,善,"virtuous, good, goodness",Sheep . . . horns . . . mouth. Pay special attention to the writing of this character. [12],ゼン
473,金,not only gold but any metal at all,"* as a primitive, it means not only gold but any metal at all.",キン、コン、ゴン
474,再,"again, twice, second time",Jewel . . . with a belt hung on it. Note how the belt is drawn right after the first stroke of jewel. [6],サイ、サ
475,車,"Car, cart, wagon, and vehicle","* Car, cart, wagon, and vehicle may all be used as primitive meanings.",シャ
476,亠,,,
477,亢,whirlwind,"* whirlwind A A formal high silk top hat resting atop a weather vane represents a whirlwind. To keep it distinct from the primitive for wind, try to picture the vortex, or tornado-like spinning movement, of a whirlwind. The next frame should help. [4]",
478,,"tall, high, expensive","Recalling an image from frame 183, first see the mouth under the extra-terrestrial’s glass hood, and then the mouth under the top hat of one of his mates who has tried on the strange earthling’s headgear only to find that it makes him look much, much taller than everyone else. [10]",
479,高,"tall, high, expensive","Recalling an image from frame 183, first see the mouth under the extra-terrestrial’s glass hood, and then the mouth under the top hat of one of his mates who has tried on the strange earthling’s headgear only to find that it makes him look much, much taller than everyone else. [10]",
480,亭,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name","Think of all the pavilions at some World Expo you attended or followed in the media, and you will no doubt see rising up among them the towering tall crowned nail (the crown being a revolving restaurant)—that architectural monstrosity that has become a symbol of science and technology at such events. [9]",
481,享,"enjoy, receive, undergo, answer (phone), take, get, catch","Tall children receive more attention. Tall children grow up to make better wide receivers. Take your pick, depending on whether you prefer child psychology or American football. At any rate, be sure you have some particular tall child in mind, someone who really was outstanding and always attracting attention, because he or she will come in handy in the next two frames. [8]",キョウ、 コウ
483,京,"capital, 10**16","Think of some tall, domed capital building with swarms of little folk gathered around its base, probably demonstrating for their government’s attention. [8]",
484,亡,"deceased, to perish","* In addition to deceased, the primitive meaning of to perish will also be used for this character.",ボウ、モウ
485,罔,net,Gass canopy . . . animal horns . . . perish. [14],
486,冖,crown,"* crown ? This pictograph of a simple crown is distinguished from the roof only by the absence of the chimney (the first drop at the top). It can be used for all the principal connotations of the word crown. We will meet the full character from which this element is derived later on, in frame 304. [2]",
487,軍,chariot,* Used as a primitive this kanji means only chariot.,グン
488,,"study, learning, science","The child in the little red schoolhouse is there for one reason only: to study. Anyone who has gone through the schooling system knows well enough that study is one thing and learning quite another again. In the kanji, too, the character for learning (frame 574) has nothing to do with the schoolhouse. [8]",ガク
489,,"prize, reward, praise",Outhouse . . . shellfish. [15],ショウ
491,爪,"claw, nail, talon","This character is a pictograph of a bird’s claw, and from there comes to mean animal claws in general (including human fingernails). [4]",ソウ
492,奚,The vulture and child combine to create the image of an aerie full of fledglings,* fledgling f The vulture and child combine to create the image of an aerie full of fledglings. [7],
493,孚,The vulture and child combine to create the image of an aerie full of fledglings,* fledgling f The vulture and child combine to create the image of an aerie full of fledglings. [7],
494,将,"leader, commander, general, admiral, or, and again, soon, from now on, just about",Turtle . . . vulture . . . glue. [10],ショウ、ソウ
495,將,,,
496,采,"dice, form, appearance, take, gather, coloring",,サイ
498,受,"accept, undergo, answer (phone), take, get, catch, receive",Birdhouse . . . crotch. [8],ジュ
499,⺍,"nest, rookery, hive, cobweb, den",Owl . . . fruit. [11],ソウ
500,単,"simple, one, single, merely","Owl . . . brain . . . needle. The key word does not connote easy or facile, but rather simple as the opposite of complex. Note how the stroke order of the last two elements is different from what you might expect just by reading the ingredients. [9]",タン
501,矢,"dart, arrow","When shot high into the heavens, the dart gets so small it looks like a mere drop. Although this character could as well mean “arrow,” it has no connection with the primitive of that meaning. Hence the new key word. [5]",シ
502,知,"know, wisdom",Dart . . . mouth. [8],チ
503,矣,sentence particle,Elbow . . . dart. [5],
504,爰,migrating duck,"* migrating ducks £ This primitive is simplicity itself. It depicts bird claws that are joined to one another. Note the extra horizontal stroke in friendship, which gives the appearance of a “two” in the middle of the kanji, further emphasizing the togetherness of the migrating ducks. [9]",
505,宀,house,"* house º This extremely useful primitive element depicts the roof of a house. You can see the chimney at the top and the eaves on either side without much trouble. It is a “crown” element, which means that it is invariably set atop other things. Examples follow immediately. [3]",
506,宣,"proclaim, say, announce","Under the primitive for house we meet the kanji for span. Think of the key word in its religious sense of missionary preaching: “proclaiming the good news to all nations” and “shouting it from the housetops.” That should be enough to help you remember this simple kanji, used in fact both for advertising and missionary work. [9]",セン
507,寄,"draw near, stop in, bring near, gather, collect, send, forward","Let the idea of drawing near suggest something dangerous or eerie that one approaches with fear and trembling. Here we see a strange house—perhaps the haunted House of Usher that Edgar Allen Poe immortalized, or the enchanted Gingerbread House that lured Hansel and Gretel to draw near. [11]",キ
508,穴,hole,"* as a primitive, this kanji uses an alternate form: the primitive for eight is replaced with that for human legs.",ケツ
509,空,"empty, sky, void, vacant, vacuum",Hole . . . craft. [8],クウ
510,𠂉,reclining,"* reclining L The picture is obvious: the first stroke represents the head, and the second the body of someone reclining. You may also use the synonyms lying or lying down. [2]",
511,毎,every,"“Behind every successful person lies a woman…,” who usually turns out to be one’s mother! [6]",マイ
512,乞,"beg, invite, ask","See someone lying down in a public place with a hook in place of a hand, begging a morsel of rice or a few pence. [3]",コツ、 キツ、 キ、 キケ、 コチ
513,复,double back,"* double back M Either the connotations of turning around and heading back during one’s travels, or folding an object in half will do here. It pictures someone doubling back to the nearest inn to lie down and rest a weary pair of walking legs after a full day’s voyage. [9]",
515,無,"nothingness, none, isn’t, nothing, nil, not","This character is the Japanese character for the supreme philosophical principle of much Oriental thought: nothingness. Make use of the oaken tub from the previous frame, and add to that the oven fire at the bottom. [12]",
517,方,"a compass, the instrument used to determine direction.","* as a primitive, this character will take the sense of a compass, the instrument used to determine direction.",ホウ
518,房,"tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room",Door . . . compass. [8],ボウ
519,芳,"perfume, balmy, favourable, fragrant",Here we see a special compass used to pick out those flowers most suited for making good perfumes. [7],ホウ
520,,"give, bestow, perform, alms",Banner . . . scorpion. [9],シ、 セ
521,旁,,,
522,敖,"play, be proud",Sand . . . compass . . . taskmater. [12],
523,激,"violent, get excited, enraged, chafe, incite","Some cosmic taskmaster hovering overhead whips up the waves to make them dash violently against the shore. In the white foam that covers the water we see a broken compass floating, all that remains of a shipwreck. [16]",ゲキ
524,欠,"lack, gap, fail, yawning radical (no. 76)","The pictograph hidden in this character is of someone yawning. The first stroke shows the head thrown back; the second, the arm bent at the elbow as the hand reaches up to cover the mouth; and the last two, the legs. Since yawning shows a lack of something (psychologically, interest; physiologically, sleep), the connection is plain to see. [4]",ケツ、ケン
525,次,"next, second","* as a primitive, this character can either retain its key word meaning of next or the related meaning of second.",ジ、シ
526,漱,,,
527,艹,flower,"* flower 4 We are not yet equipped with all the pieces necessary to learn the character for flower, so shall have to content ourselves here with the first three strokes, which represent the primitive of the same meaning. Concentrate on the actual “bloom” of the flower, and keep a particular flower in mind. Try a rose, a tulip, or a daisy, since none of them will have their own kanji. [3]",
528,莫,graveyard,"* graveyard, The element shown here should be taken to represent a modern graveyard. Gone are the cobwebs and gnarled trees, the tilted headstones and dark, moonless nights that used to scare the wits out of our childhood imaginations. Instead, we see brightly coloured flowers placed before the tombstones, the sun shining gloriously overhead, and a cuddly St. Bernard sitting at the gate keeping watch. [10]",
529,卉,haystack,"* haystack ; The three needles stacked up give us a haystack (in which it may be harder to find the hay than the needles). In the rare case in which there is nothing underneath this element, as in the following frame, the last three strokes are written virtually the same as two hands—that is, the second stroke sweeps down slightly to the left. [5]",
530,尭,straw man,* straw man # The two human legs added to the haystack (with the horizontal stroke to keep the two parts distinct from one another and avoid an ugly tangle) give us a straw man. [8],
531,竹,bamboo,"Bamboo grows upwards, like a straight nail, and at each stage of its growth (which legend associates with the arrival of the new moon) there is a jointed rootstock (the first stroke). Two such bamboo stalks are pictured here. [6]",チク
532,⺲,buy,net . . . shellfish. [12],バイ
533,慢,"ridicule, laziness",State of mind . . . mandala. [14],
534,夢,"dream, vision, illusion",To have a dream after going to bed is really the crown to a perfect evening. The flower petals over the eyes (instead of the “sand” that Westerners are used to finding there when they awake in the morning) only confirms the image of a pleasant dream suggested by the rest of this rather complex kanji. [13],
535,徳,"benevolence, virtue, goodness, commanding respect",Going . . . needle . . . eye . . . heart. See the note in frame 827. [14],
536,壊,"demolition, break, destroy","The right half of this character shows a garment woven so fine that it can pass through the eye of a needle, fittingly draped around the slithering, ethereal form of a poltergeist. In this frame, our eerie visitor brushes its robes against a nearby block of apartments and completely demolishes them, razing them to the ground. [16]",
537,環,"ring, circle, link, wheel","Jewel . . . net . . . ceiling . . . mouth . . . scarf. The number of elements is large here, so take extra care with this kanji. It is best to learn it in conjunction with the following frame, since these are the only two cases in this book where the combination of elements to the right appears. [17]",
538,入,"Enter, to go in, to put in, to come in

It generally appears atop its relative primitive, where, unlike the element for umbrella 3, the two strokes do not touch each other, making it virtually the same as the kanji for eight.

When it appears in any other position, however, it retains its original form.","* as a primitive, the meaning of the key word is expanded to include: to go in, to put in, to come in, and the like. It generally appears atop its relative primitive, where, unlike the element for umbrella 3, the two strokes do not touch each other, making it virtually the same as the kanji for eight. When it appears in any other position, however, it retains its original form.",ニュウ、ジュ
539,分,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100",Go in . . . dagger. [4],ブン、 フン、 ブ
540,公,"public, prince, official, governmental","Come in . . . elbows. Use the key word in its adjectival sense, not as a noun.[4]",コウ、ク
541,谷,valley,"Go in . . . an umbrella . . . a mouth. Because of space restrictions, the element for go in is shortened in this character. If you stand 2on your head and look at this kanji, the image of a valley stands out more clearly: the mouth of the river whose water flows down at the intersection of the two mountains, with the final two strokes adding the element of perspective. Now get back on your feet again and see if the image still remains clear. If not, then return to the primitives and make a story in the usual way. [7]",コク
542,容,"contain, form, looks",This character depicts a house so large that it can contain an entire valley. [10],ヨウ
543,𠆢,umbrella,"* umbrella 3 The actual character on which this primitive meaning umbrella is based we shall not meet until frame 1026. We may think of it as a large and brightly-coloured beach umbrella. If you compare this with frame 8, you will notice how the two strokes touch here, while the kanji for eight would leave a gaping leak in the top. [2]",
544,亼,meeting,* meeting 5 This compound primitive depicts a meeting as a massive gathering of people under one umbrella. The full kanji from which this derives will be introduced later in frame 752. The important thing here is to picture the scene just described and associate it with the word meeting. [3],
545,今,clock,"* We shall use clock as the primitive meaning of this character, in line with the above explanation.",コン、キン
546,含,"contain, include, hold in the mouth, bear in mind, understand, cherish",Clock . . . mouth. [7],
547,倉,"godown, warehouse, storehouse, cellar, treasury","The single gate is used here not in order to represent one gate, but many of them, indeed a meeting of gates. Add mouth (as an entrance here) and you end up with godown. That should help keep this character distinct from storehouse (frame 589). [10]",ソウ
548,僉,,,
550,兪,"affirmative response, relaxed, at ease",Meeeting . . . flesh . . . stream. [9],
551,龹,quarter,"* quarter } This character simply splits the vertical stroke of a half in half once again, to get a quarter. In so doing, it spreads the split stroke out to form a sort of enclosure under which its main relative primitive will be placed. It can be used either in its substantive or verbal meaning. [6]",
552,巻,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)","Quarter . . . snake. The key word refers to a manuscript rolled up into a scroll, not to a hanging scroll (frame 407). [9]",
553,癶,,,
554,登,"ascend, climb up",Teepee . . . table. Do not confuse with rise up (frame 43). [12],トウ、ト、ドウ、ショウ、チョウ
555,発,"departure, discharge, publish, emit, start from, disclose, counter for gunshots","This key word refers to the discharging of guns, trains, people, and even words. The elements: teepee . . . two . . . human legs. Contrast the writing with frame 59. [9]",ハツ、ホツ
556,尞,pup tent,* pup tent r The St. Bernard dog and its overlapping with the element for teepee are enough to suggest the meaning of this primitive element: a pup tent. The combination of sun and little at the bottom can mean a little opening or flap through which the sun shines in the morning to let you know it’s time for getting up. [12],
557,齊,,,
558,㕣,a small valley or gully. [5],"* gully r as an abbreviation of the kanji for a valley, this primitive gets its meaning as a small valley or gully. [5]",
559,⻌,"road-way, street, district, journey, course, moral, teachings","The key word carries both the sense of a road for transit and a way or method of doing something, but the former is better for forming an image. The primitives read: the neck of a road. Think of a crowded road-way where traffic has come to a standstill—what we commonly refer to as a “bottleneck.” [12]",ドウ、トウ
560,廴,stretch,"* stretch o The primitive meaning to stretch might at first seem similar to that for road. Take a moment to study it more carefully and you will see the difference. Like road, this character holds other primitives above its sweeping final stroke. [3]",
561,聿,"brush, finally, self, relate, follow, here, fast, writing brush radical (no. 129)","* brush ¿ This primitive element, not itself a kanji, is a pictograph of a writing brush. Let the first 3 strokes represent the hairs at the tip of the brush, and the following two strokes the thumb and forefinger that guide it when you write. Note how the long vertical stroke, cutting through everything, is drawn last. This is standard procedure when you have such a stroke running the length of a character. However, as we saw in the case of cow, when this primitive appears on top of another primitive, its “tail” is cut off, giving us D. [6]",
562,建,build,"To construct a building, you first draw a set of plans (the writing brush) and then s-t-r-e-t-c-h your drawing out to scale in reality. [9]",ケン、コン
563,乃,a fist,3 4 * The primitive meaning is taken from the pictograph: a fist.,
564,及,outstretched hands. Only take care not to confuse it with that for beg,"* as a primitive, this shall stand for outstretched hands. Only take care not to confuse it with that for beg (frame 462)",キュウ
565,又,"crotch, as in the crotch of the arm","* as a primitive, it will mean crotch, as in the crotch of the arm. Or whatever.",ユウ
566,啜,,,
567,奴,"guy, slave, manservant, fellow",Woman . . . crotch. [5],ド
568,友,friend,By one’s side . . . crotch. [4],ユウ
569,支,"branch, support, sustain, branch radical (no. 65)",Needle . . . crotch. [4],シ
570,圣,a spool (the element for earth at the bottom) with threads being wound about it tightly (the crotch at the top),* spool ¥ Here we see a simplified drawing of a spool (the element for earth at the bottom) with threads being wound about it tightly (the crotch at the top). You may remember it either pictographically or by way of the primitives. [5],
571,反,anti-,Cliff . . . crotch. [4],ハン、ホン、タン、ホ
572,夂,walking legs (jogging or walking in long strides),"* walking legs ## motion,” whether you want to think of them as jogging or walking in long strides, as the shape seems to suggest. Be careful how you write it, with the first two strokes like a stylized “7.” [3]",
573,夏,summer,"In the summer, fatigued by the heat, your head hangs down nearly as far as your walking legs, or rather, your “dragging legs.” Note how the walking legs (instead of “animal legs”) are the only thing that distinguishes this character from that for page (frame 60). [10]",カ、ガ、ゲ
574,各,each,"* The sense of the proverb should help when using this kanji as a primitive; otherwise, reduce it to its original elements. But do not associate it in any way with the word “every,” which we shall meet later in another context.",カク
575,客,"guest, visitor, customer, client","When you are a guest in a courteous town, each household has its own way of welcoming you, and each house becomes your home. [9]",キャク、カク
576,攵,taskmaster,"* taskmaster ß First find the long rod (the first stroke), held in the hand of someone seated (the next 3 strokes, not unlike the pictograph for woman, but quite different from that for walking legs introduced in the last Lesson). The only thing left to do is conjure up the memory of some taskmaster (or taskmistress) from your past whom you will “never forget.” [4]",
577,敝,shredder,"* shredder u The element on the left looks like rice with a belt running through it, but we would do best to think of it in terms of its writing order: little . . . belt . . . little. On the right, of course, the taskmaster. [12]",
578,之,"of, this","This character is now used chiefly in proper names, and is best learned as the character closest to the hiragana N, though in fact it has no relation to it. [3]

 * In order to give this kanji a more concrete meaning when it is used as a primitive ELEMENT, think of it as referring to building blocks with the hiragana written on them, much the same as the A-B-C blocks you played with as a child. 3",シ
579,乏,"destitution, scarce, limited",Drop of . . . building blocks. [4],ボウ
580,弋,,,
581,式,"style, ceremony, rite, function, method, system, form, expression",Take style in its sense of some fashion design or model. Then let the element arrow and craft stand for the well-known style of shirts known as “Arrow shirts” because of the little arrow sewn on each one. [6],シキ
582,,"II, two, second","We use the Roman numeral ii here to stress that this kanji is an older form of the kanji for two. Think of two arrows in a quiver, standing up like the numeral ii. [6]",ニ、 ジ
583,戈,"halberd, arms, festival car, float, tasselled spear radical (no. 62)","* fiesta O The picture in this primitive is what we may call a “tassled arrow.” A decorative tassle is strung on the shaft of an arrow to indicate that it is no longer a weapon but a symbol of a fiesta. As before, the first stroke is extended when it serves as a semienclosure. [4]",カ
584,絨,wool cloth,"To use the thread attached to the needle and make the safe of wool, in other words, WOOL CLOTH",
585,我,"ego, I, selfish, our, oneself","Hand . . . fiesta. Note how the second stroke of the hand is stretched across to double up as the first stroke of the tasseled arrow we use for fiesta. Compare this kanji with frames 17, 36, and 525. [7]",ガ
586,義,"righteousness, justice, morality, honor, loyalty, meaning",Sheep . . . ego. [13],ギ
587,𢦏,Thanksgiving,"* Thanksgiving F I choose the word Thanksgiving as only one possible way of making this primitive more concrete. The sense, as its composite primitives make clear, is of a “land fiesta,” or a harvest feast. If you choose a word of your own, make sure it does not conflict with fiesta. [6]",
588,戊,"5th calendar sign, parade","* parade ¨ Note first the order of the writing. The first stroke, added to fiesta, gives us a full-fledged enclosure, because of which we should always think of this as a parade of something or other, namely whatever is inside the enclosure. [5]",ボ、ボウ
589,成,"turn into, become, get, grow, elapse, reach",Let the phrase “turn into” suggest some sort of a magical change. What happens here is that the parade marching down main street turns into a dagger-throwing bout between competing bands. Note how only one stroke has to be added to make the change. [6],セイ、ジョウ
590,戌,marching (The inclusion of the one gives the sense of the singlemindedness and unity of the group  joined in the march),"* march R As distinct from the parade, the march points to a formal demonstration, whose emotions are generally a far cry from the happy spirit of the parade. The inclusion of the one gives the sense of the singlemindedness and unity of the group joined in the march. As was the case with parade, the primitive inside the enclosure indicates who or what is marching. [6]",
591,武,"warrior, military, chivalry, arms","With a quiver of arrows set on one’s back, the goal of the warrior depicted here is not to attack but merely to stop the attack of others: the oldest excuse in history! [8]",ブ、ム
592,讖,,,
593,㦮,float,"* float G The floats that are such an important part of a fiesta are shown here by the addition of the two extra horizontal strokes, which you may take as a quasi-pictographic representation of the platform structure of a float. [6]",
594,叔,"uncle, youth",Above . . . little . . . crotch. [8],シュク
595,止,"stop, footprint","* Although the meaning of stop will be retained, we will return often to the pictographic meaning of footprint.",シ
596,歩,"walk, counter for steps",Footprints that follow one another a few at a time indicate walking. [8],ホ、ブ、フ
598,正,"correct, justice, righteous, 10**40","“A journey of a thousand miles begins with a single step,” says the Chinese proverb. Here we see one footprint, complementing that proverb with the sound advice that if the first step is not made correctly, the whole point of the journey will be forfeited. This is the ideal that teachers are supposed to have in correcting their students, and parents in correcting their children. [5]",
